"","year","company","country","region","productionGroup","units","fixed_assets","cash_and_equi","net_income_after_tax","income_tax","assets","liabilities","current_liabilities","equity","KTA","tg_beforetax","tg_aftertax","ratio_endeudamiento","ratio_endeudamiento_cp","pasivo_activo","ratio_solvencia","is_media"
"1",2011-01-01,"ADNOC","United Arab Emirates","Middle East/North Africa","Large domestic producers","USD million",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"empresas"
"2",2011-01-01,"BAPCO","Bahrain","Middle East/North Africa","Medium domestic producers","USD million",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"empresas"
"3",2011-01-01,"Basra Oil Company","Iraq","Middle East/North Africa","Large domestic producers","USD million",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"empresas"
"4",2011-01-01,"CNOOC","China","Asia-Pacific","Internationalized operators","USD million",82594.0098,16094.0374,19449.9346,3959.0115,111203.018,40164.908,20922.3569,71038.1099,98688.0472,0.237201431826488,0.19708500828457,0.565399446248499,0.294522995184589,0.361185413151287,1.76866108843073,"empresas"
"5",2011-01-01,"CNOOC Limited","China","Asia-Pacific","Internationalized operators","USD million",39053.24,3664.4961,17931.2379,3452.7793,59470.1385,18789.5576,10866.8916,40680.5809,42717.7361,0.50058872853049,0.419760959663778,0.461880267791358,0.267127247438101,0.31594945083237,2.16506326365023,"empresas"
"6",2011-01-01,"CNPC","China","Asia-Pacific","Internationalized operators","USD million",331297.0382,43088.8596,66065.0182,7923.2851,468605.4511,205401.5234,152101.0419,263203.9277,374385.8978,0.197625775262307,0.176462357658815,0.780389279122448,0.577882872908207,0.438325083325092,1.28141176045435,"empresas"
"7",2011-01-01,"CUPET","Cuba","Latin America/Caribbean","Small domestic producers","USD million",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"empresas"
"8",2011-01-01,"Ecopetrol","Colombia","Latin America/Caribbean","Large domestic producers","USD million",37565.9354,2433.4484,8897.2425,4304.719,46128.1063,16362.4751,7476.8832,29765.6313,39999.3838,0.330054121983749,0.222434489103305,0.549710333205666,0.251191823369794,0.354718119005028,1.81913989895086,"empresas"
"9",2011-01-01,"EGPC","Egypt","Middle East/North Africa","Small domestic producers","USD million",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"empresas"
"10",2011-01-01,"ENH","Mozambique","Sub-Saharan Africa","Small domestic producers","USD million",287.798,78.3006,49.7406,11.8627,381.4717,288.1929,23.3374,93.2789,366.0986,0.168269695650297,0.135866676354403,3.08958296034795,0.250189485510657,0.755476487508772,0.32366827912832,"empresas"
